plateID,New Code,Pop Defined,State,State Name,Pop Names,EstuaryLocal,Latitude,Longitude
A01,BRLS07,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
A02,BRLS13,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
A04,BRHS14,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
A05,VaWA26,Wachapreague,Virginia,Virginia,Wachapreague,NA,37.607754,-75.685962
A06,CHLS01,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
A07,SHLS37,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,32.50119,-80.67869
A08,BBHS01,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
A09,BBHS14,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
A10,FlAM08,Amelia Island,Amelia Island,Florida,Amelia Island,NA,30.66833,81.429888
A11,BRLS05,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
A12,VaWA06,Wachapreague,Virginia,Virginia,Wachapreague,NA,37.607754,-75.685962
A14,SHLS15,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,32.50119,-80.67869
A15,SHLS23,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,32.50119,-80.67869
A16,BRHS10,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,32.2507,-80.69827
A17,CHLS02,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
A18,BRLS17,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,32.39161,-80.77629
A19,CHLS11,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,32.81348,-79.90776
A20,FlSB10,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,29.915834,-84.510613
B01,WBHS49,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,33.44009,-79.11704
B03,VaWA13,Wachapreague,Virginia,Virginia,Wachapreague,NA,37.607754,-75.685962
B08,NcMV07,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,34.725394,-76.78862
B09,SHHS11,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,32.34418,-80.46648
B11,BBHS15,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
B12,MaBH19,Barnstable Harbor,Massachusetts,Massachusetts,Barnstable Harbor,NA,41.70911,-70.30297
B14,BBHS20,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,33.03834,-79.56071
