plateID,New Code,Pop Defined,State,State Name,Pop Names,EstuaryLocal,mtHaplotype,mtHap Group,mtHap Subgroup
A01,BRLS07,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
A02,BRLS13,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
A04,BRHS14,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
A05,VaWA26,Wachapreague,Virginia,Virginia,Wachapreague,NA,Hap_1,B,B
A06,CHLS01,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
A07,SHLS37,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
A08,BBHS01,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
A09,BBHS14,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
A10,FlAM08,Amelia Island,Amelia Island,Florida,Amelia Island,NA,NA,NA,NA
A11,BRLS05,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
A12,VaWA06,Wachapreague,Virginia,Virginia,Wachapreague,NA,NA,NA,NA
A14,SHLS15,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
A15,SHLS23,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
A16,BRHS10,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
A17,CHLS02,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
A18,BRLS17,Broad River (Landward),South Carolina,South Carolina,Broad River,Inland,NA,NA,NA
A19,CHLS11,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
A20,FlSB10,St. Teresa Beach,St. Teresa Beach,Florida,St. Teresa Beach,NA,Hap_7,A,A2
B01,WBHS49,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
B03,VaWA13,Wachapreague,Virginia,Virginia,Wachapreague,NA,Hap_1,B,B
B08,NcMV07,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,Hap_1,B,B
B09,SHHS11,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
B11,BBHS15,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
B12,MaBH19,Barnstable Harbor,Massachusetts,Massachusetts,Barnstable Harbor,NA,NA,NA,NA
F08,CHHS18,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
B14,BBHS20,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
B17,CHHS20,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
B18,NcMV35,Mitchells Village,North Carolina,North Carolina,Mitchells Village,NA,NA,NA,NA
B19,SHHS23,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
C01,CHHS22,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
C02,WBHS41,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
C04,CHLS12,Charleston Harbor (Landward),South Carolina,South Carolina,Charleston Harbor,Inland,NA,NA,NA
C05,BRHS21,Broad River (Seaward),South Carolina,South Carolina,Broad River,Coastal,NA,NA,NA
C06,SHLS30,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
C07,SHHS20,St. Helena (Seaward),South Carolina,South Carolina,St. Helena,Coastal,NA,NA,NA
C11,CHHS14,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
C13,CHHS01,Charleston Harbor (Seaward),South Carolina,South Carolina,Charleston Harbor,Coastal,NA,NA,NA
C15,BBHS09,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
C16,BBHS29,Bulls Bay,South Carolina,South Carolina,Bulls Bay,Coastal,NA,NA,NA
C17,WBHS32,Winyah Bay,South Carolina,South Carolina,Winyah Bay,Coastal,NA,NA,NA
C18,SHLS13,St. Helena (Landward),South Carolina,South Carolina,St. Helena,Inland,NA,NA,NA
