accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description
SAMN41062329	Successfully loaded	BRLS07			Diopatra cuprea	1			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062330	Successfully loaded	BRLS13			Diopatra cuprea	2			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062331	Successfully loaded	BRHS14			Diopatra cuprea	3			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062332	Successfully loaded	VaWA26			Diopatra cuprea	4			estuary	2009	USA:Wachapreague Virginia	body														
SAMN41062333	Successfully loaded	CHLS01			Diopatra cuprea	5			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062334	Successfully loaded	SHLS37			Diopatra cuprea	6			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062335	Successfully loaded	BBHS01			Diopatra cuprea	7			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062336	Successfully loaded	BBHS14			Diopatra cuprea	8			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062337	Successfully loaded	FlAM08			Diopatra cuprea	9			estuary	2009	USA:Amelia Island Florida	body														
SAMN41062338	Successfully loaded	BRLS05			Diopatra cuprea	10			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062339	Successfully loaded	VaWA06			Diopatra cuprea	11			estuary	2009	USA:Wachapreague Virginia	body														
SAMN41062340	Successfully loaded	SHLS15			Diopatra cuprea	12			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062341	Successfully loaded	SHLS23			Diopatra cuprea	13			estuary	2022	USA:St. Helena (Landward) South Carolina	body														
SAMN41062342	Successfully loaded	BRHS10			Diopatra cuprea	14			estuary	2022	USA:Broad River (Seaward) South Carolina	body														
SAMN41062343	Successfully loaded	CHLS02			Diopatra cuprea	15			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062344	Successfully loaded	BRLS17			Diopatra cuprea	16			estuary	2022	USA:Broad River (Landward) South Carolina	body														
SAMN41062345	Successfully loaded	CHLS11			Diopatra cuprea	17			estuary	2022	USA:Charleston Harbor (Landward) South Carolina	body														
SAMN41062346	Successfully loaded	FlSB10			Diopatra cuprea	18			estuary	2012	USA:St. Teresa Beach Florida	body														
SAMN41062347	Successfully loaded	WBHS49			Diopatra cuprea	19			estuary	2022	USA:Winyah Bay South Carolina	body														
SAMN41062348	Successfully loaded	VaWA13			Diopatra cuprea	20			estuary	2009	USA:Wachapreague Virginia	body														
SAMN41062349	Successfully loaded	NcMV07			Diopatra cuprea	21			estuary	2012	USA:Mitchells Village North Carolina	body														
SAMN41062350	Successfully loaded	SHHS11			Diopatra cuprea	22			estuary	2022	USA:St. Helena (Seaward) South Carolina	body														
SAMN41062351	Successfully loaded	BBHS15			Diopatra cuprea	23			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062352	Successfully loaded	MaBH19			Diopatra cuprea	24			estuary	2009	USA:Barnstable Harbor Massachusetts	body														
SAMN41062353	Successfully loaded	CHHS18			Diopatra cuprea	25			estuary	2022	USA:Bulls Bay South Carolina	body														
SAMN41062354	Successfully loaded	BBHS20			Diopatra cuprea	26			estuary	2022	USA:Charleston Harbor (Seaward) South Carolina	body														
SAMN41062355	Successfully loaded	CHHS20			Diopatra cuprea	27			estuary	2012	USA:Mitchells Village North Carolina	body														
