"","BBHS","BRHS","BRLS","CHHS","CHLS","FlAM","FlFP","FlSB","MaBH","MaDB","MaWF","NcBE","NcFR","NcMV","NjRG","SHHS","SHLS","VaWA","WBHS"
"BBHS",NA,0.456,0.035,0.832,0.02,0.037,0.001,0.001,0.001,0.044,0.001,0.612,0.143,0.027,0.05,0.996,0.438,0.134,0.453
"BRHS",-0.000364297148952095,NA,0.096,0.508,0.221,0.033,0.001,0.001,0.001,0.076,0.001,0.394,0.066,0.029,0.005,0.933,0.082,0.043,0.638
"BRLS",0.00558552089277271,0.0034390906001024,NA,0.019,0.737,0.116,0.001,0.001,0.002,0.063,0.001,0.224,0.013,0.073,0.004,0.366,0.012,0.019,0.098
"CHHS",-0.00158784432892947,-0.000528588296856426,0.00671827344294576,NA,0.012,0.035,0.001,0.001,0.001,0.093,0.001,0.444,0.691,0.027,0.075,0.712,0.343,0.227,0.705
"CHLS",0.0051795834582149,0.00127304039922524,-0.00128449464321549,0.00632347385509414,NA,0.146,0.001,0.001,0.001,0.05,0.001,0.28,0.017,0.048,0.001,0.185,0.009,0.024,0.026
"FlAM",0.0171675830322564,0.0148428724923777,0.00681568417869201,0.017136920004913,0.0063159952243395,NA,0.001,0.001,0.001,0.115,0.001,0.123,0.003,0.011,0.005,0.029,0.015,0.002,0.04
"FlFP",0.409151225531336,0.441048528605296,0.467301729773182,0.391433391141935,0.458024232600205,0.505354267926384,NA,0.001,0.001,0.101,0.001,0.105,0.001,0.001,0.003,0.001,0.001,0.001,0.001
"FlSB",0.366708357803949,0.38383589652011,0.409485534139986,0.353398683781969,0.406710547949175,0.411066816987846,0.38817363219749,NA,0.001,0.152,0.001,0.083,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"MaBH",0.228162802340887,0.265156372671566,0.295662416869447,0.222474495044481,0.282387340058647,0.347805293375427,0.435695660233944,0.370047674124346,NA,0.833,0.707,0.185,0.001,0.001,0.01,0.001,0.001,0.001,0.001
"MaDB",0.184609977426455,0.243419705621403,0.302385187943119,0.16884081573466,0.275685054564044,0.452116925413095,0.439756306929278,0.307504549208183,-0.0730769230769237,NA,0.817,1,0.174,0.065,0.197,0.064,0.062,0.12,0.043
"MaWF",0.214148726210281,0.244440626317569,0.268889376851223,0.210467480548613,0.258196666813164,0.30051481657686,0.430598738276162,0.378600278585071,-0.00404289170592769,-0.0864786664363457,NA,0.106,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"NcBE",0.00935592862103672,0.0466712810588606,0.105786471795521,-0.00850627558090199,0.0858598908402377,0.265175881962526,0.476089463263931,0.32760826255636,0.282740437588541,0,0.268151580623153,NA,0.476,0.204,0.793,0.517,0.753,0.369,0.472
"NcFR",0.00422847593008954,0.00713644767918,0.0164577490024703,-0.00335192968934808,0.0157510425317442,0.0309375446809122,0.382173896397262,0.333611220611692,0.206598200724396,0.136616373693202,0.200615207151785,-0.0390518184304074,NA,0.033,0.114,0.132,0.121,0.078,0.118
"NcMV",0.00711204078670884,0.00597157463144597,0.00404045812821013,0.00725514400771587,0.00460684996370688,0.0185933435057141,0.470233510028848,0.405709247244142,0.293781980589459,0.307705239200576,0.266489759304358,0.103609710383304,0.00948916014007113,NA,0.004,0.037,0.008,0.007,0.071
"NjRG",0.0261415499592951,0.0506032689155386,0.0679330523772569,0.0226575415779262,0.0664746518404003,0.116149876796105,0.42287325221194,0.343338223233634,0.226962661072186,0.135527235912371,0.22067316099359,-0.0174616140450571,0.0154961248079782,0.0689179739578485,NA,0.01,0.062,0.011,0.013
"SHHS",-0.00326719879565281,-0.00261014448470085,0.000271193142954854,-0.00113671304277313,0.0013117838740163,0.0158988566244683,0.42110323793659,0.372646751406177,0.243906073083883,0.209105687413527,0.227617639868023,0.0132361649179701,0.00433016459939051,0.00593988420474855,0.0362718079680258,NA,0.504,0.131,0.903
"SHLS",-0.000139560705653494,0.00405215095553159,0.0125237440076023,0.000246229255946358,0.0111766259630569,0.0255535002574423,0.40069115967961,0.352888268362568,0.21997450367884,0.165467209140302,0.209750978740253,-0.0134568247939713,0.0050995293581117,0.0140895922700664,0.0174038487956674,-0.000489795584787759,NA,0.026,0.075
"VaWA",0.00397534271258373,0.00749396014700586,0.0146014104828368,0.00218207526115783,0.0101314652949579,0.0316893858944365,0.429966739319419,0.367153220909646,0.249885588789717,0.213703902613677,0.234983792809903,0.0183120148682629,0.00667504089740612,0.0126899448124394,0.0354037473444745,0.00385605159861236,0.0101040545645798,NA,0.315
"WBHS",-0.00010010273095679,-0.00107674924690606,0.00261525982759761,-0.00114493314707879,0.00381563494069939,0.0135593983274252,0.421235317932741,0.376630246679049,0.245486642868914,0.206969193326254,0.230059911928867,0.00882519980707965,0.00503932448537828,0.00417659533961472,0.0350926079428178,-0.00194759732339099,0.00385589300765136,0.000949739164175006,NA
