BRLS07	BRLS13	BRHS14	VaWA26	CHLS01	SHLS37	BBHS01	BBHS14	FlAM08	BRLS05	VaWA06	SHLS15	SHLS23	BRHS10	CHLS02	BRLS17	CHLS11	FlSB10	WBHS49	VaWA13	NcMV07	SHHS11	BBHS15	MaBH19	CHHS18	BBHS20	CHHS20	NcMV35	SHHS23	CHHS22	WBHS41	CHLS12	BRHS21	SHLS30	SHHS20	CHHS14	CHHS01	BBHS09	BBHS29	WBHS32	SHLS13	FlAM07	BBHS07	SHHS13	CHHS15	FlFP01	CHLS09	WBHS42	FlFP02	SHHS17	NcBE01	CHLS20	BRHS17	SHHS04	CHHS06	NcMV03	WBHS63	SHLS17	BRHS07	BBHS16	BRHS06	MaBH24	BRLS19	BBHS19	BBHS10	FlAM01	WBHS22	BRHS13	SHLS29	FlFP08	WBHS34	NcMV24	CHLS19	BBHS11	SHLS19	FlAM03	FlAM09	NcMV04	BBHS23	MaWF10	NcMV31	BRLS03	CHHS26	WBHS25	BRHS22	WBHS18	BRLS02	FlSB20	BBHS08	BBHS12	BRHS11	SHHS24	SHLS35	BRLS11	BBHS13	CHLS26	NcFR07	SHHS26	FlAM05	NcMV10	CHLS06	MaWF01	CHHS08	NcMV20	CHLS15	WBHS04	FlFP10	SHHS02	NcMV44	CHLS08	SHLS09	FlFP04	MaWF51	NcMV21	CHLS28	BBHS03	CHLS05	CHHS47	NcFR10	SHHS19	WBHS33	MaWF50	CHLS07	NcMV14	CHHS40	WBHS45	SHHS25	NcFR06	CHHS24	CHHS13	SHHS10	BRHS16	FlFP09	CHLS16	FlFP07	CHHS29	MaBH01	BBHS18	BRLS16	NjRG35	VaWA24	CHLS25	NcFR08	BRLS01	WBHS60	WBHS15	BRLS14	MaWF53	BBHS27	MaBH22	CHHS02	NjRG34	BBHS02	VaWA17	SHHS07	FlFP05	NcFR01	SHHS01	MaWF13	BRLS09	FlSB05	BRLS12	FlSB02	WBHS16	BBHS31	WBHS30	SHLS28	CHLS18	MaBH20	SHLS03	FlSB12	WBHS50	BRHS05	WBHS43	SHHS14	NA	BRLS20	NjRG14	BRLS06	BRHS19	SHLS32	NcFR11	CHHS37	CHHS52	NcFR02	WBHS29	NcFR04	CHLS24	BRHS04	SHHS15	FlSB01	VaWA29	NcMV15	BBHS32	MaWF54	CHLS13	BBHS34	VaWA02	BRLS15	CHHS03	BRHS09	WBHS38	FlSB16	CHHS05	SHHS03	FlSB14	NcFR12	CHHS10	VaWA03	NcMV11	FlAM04	NjRG16	MaDB04	NcMV43	BRLS10	CHHS16	MaWF52	CHHS48	VaWA07	CHLS04	MaWF56	WBHS44	FlSB08	WBHS36	CHLS29	FlSB17	BRLS18	FlFP03	SHLS26	CHLS30	WBHS56	BRHS20	FlSB09	SHHS06
dDocent_Contig_67209_22	2	2	2	2	0	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	2	0	0	2	0	2	2	2	2	0	2	2	0	2	2	2	0	0	2	0	0	2	2	2	2	0	2	0	2	2	2	2	2	0	0	0	0	2	2	2	2	2	2	0	2	2	0	0	2	2	0	0	0	0	2	1	0	2	2	2	2	0	2	0	2	0	2	0	2	0	0	1	0	2	0	0	0	2	2	0	2	0	0	0	0	0	2	2	2	1	0	2	0	0	2	2	0	0	0	2	0	0	0	0	2	0	2	2	0	2	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	1	2	2	0	0	0	2	0	2	2	0	2	0	2	0	2	2	2	0	0	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	2	1	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	2	0	2	0	0
dDocent_Contig_67209_49	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dDocent_Contig_67209_62	0	0	0	0	2	0	2	2	0	0	2	1	2	0	0	2	2	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	2	0	0	1	2	0	0	0	0	2	0	2	0	2	0	0	0	2	0	1	0	0	0	0	2	0	0	2	0	2	2	0	2	2	0	0	0	1	2	0	2	0	0	0	0	2	0	0	2	2	1	2	0	0	0	0	2	0	0	2	2	2	0	2	2	0	0	0	2	0	2	0	0	0	2	1	0	0	2	0	2	0	0	0	0	2	0	0	0	2	0	0	0	2	2	0	0	0	0	2	2	2	0	0	0	0	2	2	1	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	2	0	2	2	2	2	0	2	2	0	0	0	0	0	0	0	0	0	2	1	0	1
dDocent_Contig_67209_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
dDocent_Contig_67209_73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
dDocent_Contig_68013_5	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	2	0
dDocent_Contig_68013_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	2	0
dDocent_Contig_68013_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
dDocent_Contig_68013_42	1	0	0	0	0	0	0	2	2	0	2	1	0	0	2	0	0	0	0	1	2	1	0	0	0	0	0	2	0	2	0	2	0	0	1	0	2	0	0	2	0	2	0	2	0	0	2	2	0	2	2	0	1	0	0	0	2	1	2	2	0	0	2	0	2	2	0	0	0	0	0	0	0	2	1	2	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	2	1	2	0	2	2	0	0	1	1	0	2	0	2	2	0	0	1	2	0	0	0	0	2	0	2	0	0	2	1	0	2	1	2	1	2	2	2	0	0	1	0	2	0	2	0	0	0	1	2	1	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	1	1	2	0	0	2	0	1	0	0	0	2	2	0	2	0	1	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	2	1	0	0	0	0	0	0	1	0	2	2	0	2	0	0	0	0	2	0	2
dDocent_Contig_68013_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
